targetAmount,raisedAmount,supporters,targetDate
500000.0,5812795.0,5484,2023-11-10
500000.0,5975294.0,5644,2023-11-10
500000.0,5760070.0,5423,2023-11-10
500000.0,5542854.0,5194,2023-11-10
500000.0,5659858.0,5306,2023-11-10
500000.0,5151378.0,5038,2023-11-10
500000.0,5781940.0,5447,2023-11-10
500000.0,5755771.0,5414,2023-11-10
500000.0,5859617.0,5531,2023-11-10
500000.0,5624217.0,5272,2023-11-10
500000.0,5970840.0,5635,2023-11-10
500000.0,5891123.0,5561,2023-11-10
500000.0,5411357.0,5060,2023-11-10
500000.0,5890849.0,5560,2023-11-10
500000.0,5858849.0,5530,2023-11-10
500000.0,5657079.0,5304,2023-11-10
500000.0,5745619.0,5401,2023-11-10
500000.0,5866719.0,5538,2023-11-10
500000.0,5980741.0,5646,2023-11-10
500000.0,5858592.0,5528,2023-11-10
500000.0,5870558.0,5540,2023-11-10
500000.0,5414382.0,5063,2023-11-10
500000.0,3810755.0,3477,2023-11-10
500000.0,5142936.0,5024,2023-11-10
500000.0,5917526.0,5589,2023-11-10
500000.0,5636001.0,5284,2023-11-10
500000.0,5541487.0,5192,2023-11-10
500000.0,5054102.0,4902,2023-11-10
500000.0,5934023.0,5605,2023-11-10
500000.0,5138991.0,5020,2023-11-10
500000.0,5659084.0,5305,2023-11-10
500000.0,6029112.0,5686,2023-11-10
500000.0,5891748.0,5564,2023-11-10
500000.0,5677853.0,5328,2023-11-10
500000.0,5744815.0,5400,2023-11-10
500000.0,5874746.0,5544,2023-11-10
500000.0,5879104.0,5551,2023-11-10
500000.0,5816565.0,5490,2023-11-10
500000.0,5699882.0,5358,2023-11-10
500000.0,5804935.0,5472,2023-11-10
500000.0,5812795.0,5484,2023-11-10
500000.0,6004703.0,5665,2023-11-10
500000.0,5831000.0,5505,2023-11-10
500000.0,5816565.0,5490,2023-11-10
500000.0,5989131.0,5653,2023-11-10
500000.0,5805938.0,5473,2023-11-10
500000.0,5650243.0,5297,2023-11-10
500000.0,5956867.0,5623,2023-11-10
500000.0,5606048.0,5245,2023-11-10
500000.0,5859617.0,5531,2023-11-10
500000.0,5668505.0,5314,2023-11-10
500000.0,5661718.0,5306,2023-11-10
500000.0,5760070.0,5423,2023-11-10
500000.0,5414382.0,5063,2023-11-10
500000.0,5541487.0,5192,2023-11-10
500000.0,5809360.0,5480,2023-11-10
500000.0,5671427.0,5317,2023-11-10
500000.0,5609249.0,5249,2023-11-10
500000.0,5830138.0,5504,2023-11-10
500000.0,5696799.0,5355,2023-11-10
500000.0,5109810.0,4990,2023-11-10
500000.0,5469972.0,5123,2023-11-10
500000.0,5780751.0,5446,2023-11-10
500000.0,5944137.0,5612,2023-11-10
500000.0,5142398.0,5023,2023-11-10
500000.0,5146057.0,5030,2023-11-10
500000.0,5635727.0,5284,2023-11-10
500000.0,5888304.0,5556,2023-11-10
500000.0,5648474.0,5295,2023-11-10
500000.0,5815506.0,5487,2023-11-10
500000.0,5974224.0,5640,2023-11-10
500000.0,3773638.0,3431,2023-11-10
500000.0,5623609.0,5271,2023-11-10
500000.0,5702997.0,5361,2023-11-10
500000.0,5815595.0,5488,2023-11-10
500000.0,5812521.0,5483,2023-11-10
500000.0,5719568.0,5374,2023-11-10
500000.0,5971831.0,5636,2023-11-10
500000.0,5635238.0,5283,2023-11-10
